Date,CNYUSD
1995-01,8.4385 
1995-02,8.4310 
1995-03,8.4265 
1995-04,8.4077 
1995-05,8.3065 
1995-06,8.3020 
1995-07,8.3003 
1995-08,8.3200 
1995-09,8.3190 
1995-10,8.3147 
1995-11,8.3121 
1995-12,8.3175 
1996-01,8.3137 
1996-02,8.3207 
1996-03,8.3338 
1996-04,8.3302 
1996-05,8.3256 
1996-06,8.3220 
1996-07,8.3109 
1996-08,8.3064 
1996-09,8.3017 
1996-10,8.2999 
1996-11,8.3009 
1996-12,8.2981 
1997-01,8.2938 
1997-02,8.2954 
1997-03,8.2955 
1997-04,8.2945 
1997-05,8.2920 
1997-06,8.2907 
1997-07,8.2903 
1997-08,8.2884 
1997-09,8.2849 
1997-10,8.2834 
1997-11,8.2796 
1997-12,8.2798 
1998-01,8.2785 
1998-02,8.2789 
1998-03,8.2791 
1998-04,8.2779 
1998-05,8.2793 
1998-06,8.2797 
1998-07,8.2799 
1998-08,8.2800 
1998-09,8.2780 
1998-10,8.2780 
1998-11,8.2782 
1998-12,8.2889 
1999-01,8.2778 
1999-02,8.2790 
1999-03,8.2800 
1999-04,8.2790 
1999-05,8.2784 
1999-06,8.2787 
1999-07,8.2774 
1999-08,8.2770 
1999-09,8.2780 
1999-10,8.2780 
1999-11,8.2787 
1999-12,8.2795 
2000-01,8.3078 
2000-02,8.2793 
2000-03,8.2787 
2000-04,8.2799 
2000-05,8.3073 
2000-06,8.2782 
2000-07,8.2792 
2000-08,8.2786 
2000-09,8.2790 
2000-10,8.2775 
2000-11,8.2777 
2000-12,8.2774 
2001-01,8.2781 
2001-02,8.2783 
2001-03,8.2777 
2001-04,8.2774 
2001-05,8.2770 
2001-06,8.2767 
2001-07,8.2770 
2001-08,8.2769 
2001-09,8.2768 
2001-10,8.2768 
2001-11,8.2772 
2001-12,8.2766 
2002-01,8.2765 
2002-02,8.2765 
2002-03,8.2774 
2002-04,8.2773 
2002-05,8.2765 
2002-06,8.2771 
2002-07,8.2767 
2002-08,8.2768 
2002-09,8.2772 
2002-10,8.2771 
2002-11,8.2772 
2002-12,8.2770 
2003-01,8.2768 
2003-02,8.2775 
2003-03,8.2774 
2003-04,8.2771 
2003-05,8.2768 
2003-06,8.2774 
2003-07,8.2773 
2003-08,8.2771 
2003-09,8.2770 
2003-10,8.2766 
2003-11,8.2770 
2003-12,8.2767 
2004-01,8.2768 
2004-02,8.2769 
2004-03,8.2771 
2004-04,8.2771 
2004-05,8.2768 
2004-06,8.2766 
2004-07,8.2769 
2004-08,8.2766 
2004-09,8.2766 
2004-10,8.2765 
2004-11,8.2765 
2004-12,8.2765 
2005-01,8.2765 
2005-02,8.2765 
2005-03,8.2765 
2005-04,8.2765 
2005-05,8.2765 
2005-06,8.2765 
2005-07,8.1062 
2005-08,8.0998 
2005-09,8.0920 
2005-10,8.0845 
2005-11,8.0804 
2005-12,8.0702 
2006-01,8.0608 
2006-02,8.0415 
2006-03,8.0170 
2006-04,8.0165 
2006-05,8.0188 
2006-06,7.9956 
2006-07,7.9732 
2006-08,7.9585 
2006-09,7.9087 
2006-10,7.8792 
2006-11,7.8436 
2006-12,7.8087 
2007-01,7.7776 
2007-02,7.7409 
2007-03,7.7342 
2007-04,7.7055 
2007-05,7.6506 
2007-06,7.6155 
2007-07,7.5737 
2007-08,7.5607 
2007-09,7.5108 
2007-10,7.4692 
2007-11,7.3997 
2007-12,7.3046 
2008-01,7.1853 
2008-02,7.1058 
2008-03,7.0190 
2008-04,7.0002 
2008-05,6.9472 
2008-06,6.8591 
2008-07,6.8388 
2008-08,6.8345 
2008-09,6.8183 
2008-10,6.8258 
2008-11,6.8349 
2008-12,6.8346 
2009-01,6.8380 
2009-02,6.8379 
2009-03,6.8359 
2009-04,6.8250 
2009-05,6.8324 
2009-06,6.8319 
2009-07,6.8323 
2009-08,6.8312 
2009-09,6.8290 
2009-10,6.8281 
2009-11,6.8272 
2009-12,6.8282 
2010-01,6.8270 
2010-02,6.8269 
2010-03,6.8263 
2010-04,6.8263 
2010-05,6.8280 
2010-06,6.7909 
2010-07,6.7750 
2010-08,6.8105 
2010-09,6.7011 
2010-10,6.6908 
2010-11,6.6762 
2010-12,6.6227 
2011-01,6.5891 
2011-02,6.5752 
2011-03,6.5564 
2011-04,6.4990 
2011-05,6.4845 
2011-06,6.4716 
2011-07,6.4442 
2011-08,6.3867 
2011-09,6.3549 
2011-10,6.3233 
2011-11,6.3482 
2011-12,6.3009 
2012-01,6.3115 
2012-02,6.2919 
2012-03,6.2943 
2012-04,6.2787 
2012-05,6.3355 
2012-06,6.3249 
2012-07,6.3320 
2012-08,6.3449 
2012-09,6.3410 
2012-10,6.3002 
2012-11,6.2892 
2012-12,6.2855 
2013-01,6.2795 
2013-02,6.2779 
2013-03,6.2689 
2013-04,6.2208 
2013-05,6.1796 
2013-06,6.1787 
2013-07,6.1788 
2013-08,6.1709 
2013-09,6.1480 
2013-10,6.1425 
2013-11,6.1325 
2013-12,6.0969 
2014-01,6.1050 
2014-02,6.1214 
2014-03,6.1521 
2014-04,6.1580 
2014-05,6.1695 
2014-06,6.1528 
2014-07,6.1675 
2014-08,6.1647 
2014-09,6.1525 
2014-10,6.1461 
2014-11,6.1345 
2014-12,6.1190 
2015-01,6.1370 
2015-02,6.1475 
2015-03,6.1422 
2015-04,6.1137 
2015-05,6.1196 
2015-06,6.1136 
2015-07,6.1172 
2015-08,6.3893 
2015-09,6.3613 
2015-10,6.3495 
2015-11,6.3962 
2015-12,6.4936 
2016-01,6.5516 
2016-02,6.5452 
2016-03,6.4612 
2016-04,6.4589 
2016-05,6.5790 
2016-06,6.6312 
2016-07,6.6511 
2016-08,6.6908 
2016-09,6.6778 
2016-10,6.7641 
2016-11,6.8865 
2016-12,6.9370 
2017-01,6.8588 
2017-02,6.8750 
2017-03,6.8993 
2017-04,6.8931 
2017-05,6.8633 
2017-06,6.7744 
2017-07,6.7283 
2017-08,6.6010 
2017-09,6.6369 
2017-10,6.6397 
2017-11,6.6034 
2017-12,6.5342 
