,index,volTitle,volID,volCoder,volWoS,volTop200Econ,volGScites,volField,totalCites,replication,extension,total
0,0,A New Approach to Estimating the Production Function for Housing,37,5.0,13,11.0,74,Applied (gen.),98.0,0.0,1.0,1.0
1,1,A Study of the Internal Organization of a Bidding Cartel,32,5.0,21,11.0,127,Labor/IO,159.0,0.0,0.0,0.0
2,2,A Theory of Optimal Random Crackdowns,44,5.0,4,2.0,41,Applied (gen.),47.0,0.0,0.0,0.0
3,3,An Exploration of Technology Diffusion,84,2.0,36,16.0,226,Macro/Int/Trade,278.0,0.0,0.0,0.0
4,4,Are Health Insurance Markets Competitive?,58,5.0,29,16.0,139,Labor/IO,184.0,0.0,0.0,0.0
5,5,Are Risk Aversion and Impatience Related to Cognitive Ability?,49,4.0,142,73.0,706,Behavioral/Exp.,921.0,9.0,8.0,17.0
6,6,Can Higher Prices Stimulate Product Use? Evidence from a Field Experiment in Zambia,97,1.0,44,21.0,265,Development,330.0,0.0,0.0,0.0
7,7,Can Multistage Production Explain the Home Bias in Trade?,13,2.0,24,18.0,92,Macro/Int/Trade,134.0,0.0,0.0,0.0
8,8,Constrained School Choice: An Experimental Study,76,1.0,17,10.0,118,Behavioral/Exp.,145.0,0.0,0.0,0.0
9,9,Consumption Taxes and Redistribution,68,2.0,3,2.0,47,Macro/Int/Trade,52.0,0.0,0.0,0.0
10,10,Contractibility and the Design of Research Agreements,8,3.0,27,11.0,141,Labor/IO,179.0,0.0,0.0,0.0
11,11,Currency Choice and Exchange Rate Pass-Through,11,2.0,51,34.0,300,Macro/Int/Trade,385.0,0.0,2.0,2.0
12,12,Demographics and the Politics of Capital Taxation in a Life-Cycle Economy,12,2.0,3,1.0,17,Macro/Int/Trade,21.0,0.0,0.0,0.0
13,13,"Determinants of Redistributive Politics: An Empirical Analysis of Land Reforms in West Bengal, India",64,3.0,12,9.0,63,Development,84.0,0.0,1.0,1.0
14,14,Do We Follow Others when We Should? A Simple Test of Rational Expectations,95,1.0,18,6.0,92,Behavioral/Exp.,116.0,1.0,4.0,5.0
15,15,Doing Well by Doing Good? Green Office Buildings,101,4.0,69,18.0,681,Applied (gen.),768.0,5.0,2.0,7.0
16,16,Early Admissions at Selective Colleges,87,5.0,11,8.0,63,Labor/IO,82.0,0.0,0.0,0.0
17,17,Earnings Losses of Displaced Workers Revisited,23,5.0,55,21.0,283,Labor/IO,359.0,0.0,1.0,1.0
18,18,Efficiency Gains from Team-Based Coordination-Large-Scale Experimental Evidence,78,4.0,16,8.0,61,Behavioral/Exp.,85.0,1.0,0.0,1.0
19,19,"Emissions Trading, Electricity Restructuring, and Investment in Pollution Abatement",35,3.0,29,16.0,113,Applied (gen.),158.0,1.0,0.0,1.0
20,20,"Entry, Exit, and Investment-Specific Technical Change",6,2.0,9,9.0,38,Macro/Int/Trade,56.0,0.0,0.0,0.0
21,21,Financial Exchange Rates and International Currency Exposures,20,1.0,26,13.0,158,Macro/Int/Trade,197.0,0.0,3.0,3.0
22,22,Identifying the Elasticity of Substitution with Biased Technical Change,56,1.0,45,25.0,187,Macro/Int/Trade,257.0,0.0,3.0,3.0
23,23,Infrequent Portfolio Decisions: A Solution to the Forward Discount Puzzle,36,4.0,31,15.0,196,Macro/Int/Trade,242.0,1.0,0.0,1.0
24,24,Inheritance Law and Investment in Family Firms,98,5.0,22,8.0,105,Macro/Int/Trade,135.0,0.0,0.0,0.0
25,25,Inherited Trust and Growth,85,3.0,102,44.0,536,Development,682.0,3.0,3.0,6.0
26,26,Institutions and Behavior: Experimental Evidence on the Effects of Democracy,90,1.0,38,17.0,209,Behavioral/Exp.,264.0,0.0,3.0,3.0
27,27,Intergroup Conflict and Intra-Group Punishment in an Experimental Contest Game,15,1.0,51,29.0,155,Behavioral/Exp.,235.0,2.0,2.0,4.0
28,28,International Trade and Income Differences,86,2.0,51,36.0,323,Macro/Int/Trade,410.0,0.0,4.0,4.0
29,29,Intertemporal Consumption and Credit Constraints: Does Total Expenditure Respond to an Exogenous Shock to Credit?,43,5.0,10,5.0,73,Macro/Int/Trade,88.0,0.0,0.0,0.0
30,30,"Inventories, Lumpy Trade, and Large Devaluations",94,2.0,21,17.0,121,Macro/Int/Trade,159.0,0.0,1.0,1.0
31,31,Investment and Usage of New Technologies: Evidence from a Shared ATM Network,42,3.0,7,5.0,14,Labor/IO,26.0,0.0,1.0,1.0
32,32,Is Reputation Good or Bad? An Experiment,89,1.0,8,3.0,36,Behavioral/Exp.,47.0,0.0,0.0,0.0
33,33,Is a Donor in Hand Better than Two in the Bush? Evidence from a Natural Field Experiment,39,4.0,18,10.0,72,Applied (gen.),100.0,0.0,0.0,0.0
34,34,Learning about a New Technology: Pineapple in Ghana,2,3.0,176,108.0,1246,Development,1530.0,1.0,10.0,11.0
35,35,Margins of Multinational Labor Substitution,83,5.0,19,11.0,91,Macro/Int/Trade,121.0,0.0,0.0,0.0
36,36,Matching and Sorting in Online Dating,5,1.0,75,23.0,326,Labor/IO,424.0,0.0,5.0,5.0
37,37,"Momma's Got the Pill"": How Anthony Comstock and Griswold v. Connecticut Shaped US Childbearing",4,5.0,23,15.0,98,Labor/IO,136.0,2.0,0.0,2.0
38,38,Monetary Policy Rules and Macroeconomic Stability: Some New Evidence,18,2.0,20,13.0,71,Macro/Int/Trade,104.0,0.0,0.0,0.0
39,39,Multinationals and Anti-Sweatshop Activism,9,4.0,21,8.0,134,Development,163.0,0.0,2.0,2.0
40,40,Multiple-Product Firms and Product Switching,3,5.0,111,74.0,764,Labor/IO,949.0,1.0,2.0,3.0
41,41,"Organizational Structure, Communication, and Group Ethics",100,1.0,8,4.0,30,Behavioral/Exp.,42.0,0.0,0.0,0.0
42,42,Patient Cost-Sharing and Hospitalization Offsets in the Elderly,7,5.0,66,20.0,196,Applied (gen.),282.0,0.0,0.0,0.0
43,43,Pavlovian Processes in Consumer Choice: The Physical Presence of a Good Increases Willingness-to-Pay,63,1.0,28,2.0,77,Behavioral/Exp.,107.0,0.0,0.0,0.0
44,44,Pinocchio's Pupil: Using Eyetracking and Pupil Dilation to Understand Truth Telling and Deception in Sender-Receiver Games,40,1.0,56,28.0,212,Behavioral/Exp.,296.0,0.0,7.0,7.0
45,45,Preemption Games: Theory and Experiment,72,1.0,1,0.0,18,Behavioral/Exp.,19.0,0.0,0.0,0.0
46,46,Product Creation and Destruction: Evidence and Price Implications,31,3.0,35,24.0,272,Macro/Int/Trade,331.0,1.0,0.0,1.0
47,47,Psychological Pressure in Competitive Environments: Evidence from a Randomized Natural Experiment,104,4.0,27,10.0,82,Behavioral/Exp.,119.0,6.0,0.0,6.0
48,48,Real Business Cycles in Emerging Countries?,102,2.0,51,37.0,309,Macro/Int/Trade,397.0,0.0,5.0,5.0
49,49,Risk and Time Preferences: Linking Experimental and Household Survey Data from Vietnam,22,4.0,115,68.0,476,Behavioral/Exp.,659.0,7.0,5.0,12.0
50,50,Self-Interest through Delegation: An Additional Rationale for the Principal-Agent Relationship,74,1.0,41,22.0,138,Behavioral/Exp.,201.0,1.0,4.0,5.0
51,51,Social Comparisons and Contributions to Online Communities: A Field Experiment on MovieLens,57,4.0,49,20.0,246,Behavioral/Exp.,315.0,1.0,3.0,4.0
52,52,Social Identity and Preferences,79,4.0,75,42.0,308,Behavioral/Exp.,425.0,1.0,9.0,10.0
53,53,Social Preferences and Strategic Uncertainty: An Experiment on Markets and Contracts,92,1.0,14,9.0,57,Behavioral/Exp.,80.0,0.0,1.0,1.0
54,54,"Social Preferences, Beliefs, and the Dynamics of Free Riding in Public Goods Experiments",21,1.0,195,86.0,736,Behavioral/Exp.,1017.0,2.0,16.0,18.0
55,55,Specific Capital and Vintage Effects on the Dynamics of Unemployment and Vacancies,48,5.0,4,3.0,13,Macro/Int/Trade,20.0,0.0,0.0,0.0
56,56,"Sudden Stops, Financial Crises, and Leverage",81,2.0,93,58.0,540,Macro/Int/Trade,691.0,0.0,2.0,2.0
57,57,Technology Adoption with Exit in Imperfectly Informed Equity Markets,38,2.0,1,0.0,7,Macro/Int/Trade,8.0,0.0,0.0,0.0
58,58,Technology Capital and the US Current Account,61,2.0,20,13.0,144,Macro/Int/Trade,177.0,0.0,1.0,1.0
59,59,The Burden of the Nondiversifiable Risk of Entrepreneurship,46,5.0,22,13.0,139,Macro/Int/Trade,174.0,0.0,0.0,0.0
60,60,The Changing Incidence of Geography,88,2.0,18,9.0,175,Macro/Int/Trade,202.0,0.0,0.0,0.0
61,61,The Effect of Medicare Part D on Pharmaceutical Prices and Utilization,24,5.0,30,18.0,119,Labor/IO,167.0,0.0,1.0,1.0
62,62,The Gender Wage Gap and Domestic Violence,75,5.0,30,15.0,199,Labor/IO,244.0,0.0,0.0,0.0
63,63,The Macroeconomic Effects of Tax Changes: Estimates Based on a New Measure of Fiscal Shocks,33,2.0,173,69.0,1245,Macro/Int/Trade,1487.0,1.0,4.0,5.0
64,64,The Political Economy of the US Mortgage Default Crisis,82,1.0,35,15.0,221,Applied (gen.),271.0,0.0,1.0,1.0
65,65,Tournaments and Office Politics: Evidence from a Real Effort Experiment,19,1.0,29,19.0,96,Behavioral/Exp.,144.0,0.0,3.0,3.0
66,66,Trade Shocks and Labor Adjustment: A Structural Empirical Approach,41,5.0,31,23.0,202,Macro/Int/Trade,256.0,0.0,1.0,1.0
67,67,Wage Risk and Employment Risk over the Life Cycle,59,5.0,43,34.0,268,Labor/IO,345.0,0.0,0.0,0.0
68,68,Watta Satta: Bride Exchange and Women's Welfare in Rural Pakistan,73,3.0,6,4.0,37,Development,47.0,0.0,0.0,0.0
69,69,What Causes Industry Agglomeration? Evidence from Coagglomeration Patterns,47,3.0,141,93.0,766,Labor/IO,1000.0,5.0,0.0,5.0
